

Week,symptoms of e coli: (California),coli: (California),signs of e coli: (California),e coli symptoms: (California),e coli: (California)
2007-01-07,0,42,0,0,9
2007-01-14,0,47,0,4,20
2007-01-21,0,35,0,4,15
2007-01-28,0,63,0,0,21
2007-02-04,4,46,0,4,21
2007-02-11,4,40,0,4,26
2007-02-18,0,28,0,0,11
2007-02-25,0,47,0,0,25
2007-03-04,4,45,4,4,16
2007-03-11,0,31,0,0,12
2007-03-18,0,29,0,8,15
2007-03-25,4,37,4,8,23
2007-04-01,4,100,0,12,60
2007-04-08,0,43,0,6,22
2007-04-15,0,53,0,0,31
2007-04-22,0,53,0,4,17
2007-04-29,0,52,0,4,24
2007-05-06,0,42,0,4,23
2007-05-13,0,35,0,0,9
2007-05-20,3,36,0,7,10
2007-05-27,0,20,0,4,7
2007-06-03,3,46,0,5,22
2007-06-10,3,40,0,10,19
2007-06-17,0,20,0,4,7
2007-06-24,0,21,0,4,12
2007-07-01,0,20,0,0,13
2007-07-08,0,36,0,0,12
2007-07-15,0,33,0,3,12
2007-07-22,3,34,0,5,17
2007-07-29,0,36,0,0,19
2007-08-05,0,34,0,0,20
2007-08-12,0,25,0,3,13
2007-08-19,0,33,0,3,13
2007-08-26,0,48,0,3,15
2007-09-02,3,25,0,3,15
2007-09-09,0,31,0,3,14
2007-09-16,0,42,0,0,20
2007-09-23,0,43,0,3,22
2007-09-30,0,50,0,3,21
2007-10-07,0,41,0,3,17
2007-10-14,0,31,0,0,12
2007-10-21,0,39,0,0,12
2007-10-28,3,31,0,3,18
2007-11-04,3,48,3,3,17
2007-11-11,0,49,0,0,16
2007-11-18,0,31,0,3,19
2007-11-25,3,45,0,5,22
2007-12-02,0,41,0,3,14
2007-12-09,0,41,0,0,18
2007-12-16,0,19,0,0,12
2007-12-23,0,19,0,4,7
2007-12-30,0,26,0,0,16
