Week,symptoms of e coli: (California),coli: (California),signs of e coli: (California),e coli symptoms: (California),e coli: (California)
2010-01-03,0,35,0,3,13
2010-01-10,0,60,0,0,16
2010-01-17,0,51,0,0,23
2010-01-24,0,50,0,5,20
2010-01-31,0,52,0,0,35
2010-02-07,0,50,0,2,20
2010-02-14,0,57,0,3,26
2010-02-21,2,70,0,2,33
2010-02-28,0,56,0,0,15
2010-03-07,0,77,0,7,34
2010-03-14,0,71,0,2,32
2010-03-21,0,68,0,0,17
2010-03-28,0,66,0,3,41
2010-04-04,0,72,0,2,20
2010-04-11,2,86,0,7,26
2010-04-18,0,76,0,5,35
2010-04-25,2,79,0,2,40
2010-05-02,0,89,0,0,30
2010-05-09,5,96,0,7,49
2010-05-16,0,77,0,5,39
2010-05-23,0,42,0,0,20
2010-05-30,0,39,0,5,16
2010-06-06,0,54,0,2,25
2010-06-13,0,51,0,8,20
2010-06-20,3,38,0,3,15
2010-06-27,2,47,0,5,22
2010-07-04,2,57,0,5,16
2010-07-11,2,71,0,4,29
2010-07-18,0,70,0,2,24
2010-07-25,0,43,0,2,17
2010-08-01,0,61,0,2,17
2010-08-08,0,47,0,0,13
2010-08-15,2,54,0,2,19
2010-08-22,0,69,0,6,25
2010-08-29,2,52,0,4,15
2010-09-05,0,52,0,0,13
2010-09-12,0,85,0,2,23
2010-09-19,0,56,0,0,21
2010-09-26,0,59,0,0,10
2010-10-03,0,92,0,2,23
2010-10-10,0,75,0,0,28
2010-10-17,0,46,0,2,14
2010-10-24,0,100,0,4,36
2010-10-31,0,71,0,0,30
2010-11-07,0,51,0,2,16
2010-11-14,0,65,0,4,21
2010-11-21,0,55,0,8,25
2010-11-28,0,65,0,0,19
2010-12-05,2,75,0,4,23
2010-12-12,0,54,0,2,25
2010-12-19,0,33,0,0,7
2010-12-26,2,32,0,2,16
