

Week,symptoms of e coli: (California),coli: (California),signs of e coli: (California),e coli symptoms: (California),e coli: (California)
2012-01-01,2,60,0,8,40
2012-01-08,0,46,0,4,32
2012-01-15,2,61,0,2,35
2012-01-22,2,66,0,7,44
2012-01-29,2,70,0,14,49
2012-02-05,0,77,2,7,45
2012-02-12,2,65,0,7,41
2012-02-19,0,64,0,9,34
2012-02-26,0,65,0,0,32
2012-03-04,0,83,0,2,51
2012-03-11,0,71,0,7,35
2012-03-18,2,64,0,5,33
2012-03-25,0,40,0,0,19
2012-04-01,0,68,0,0,38
2012-04-08,0,42,0,7,33
2012-04-15,0,44,0,5,27
2012-04-22,2,69,0,7,44
2012-04-29,0,96,0,4,61
2012-05-06,4,69,0,5,32
2012-05-13,2,72,0,9,41
2012-05-20,0,66,0,4,31
2012-05-27,0,51,0,4,34
2012-06-03,7,94,0,18,83
2012-06-10,2,64,0,5,51
2012-06-17,0,53,0,2,35
2012-06-24,2,57,0,4,37
2012-07-01,0,46,0,2,31
2012-07-08,6,63,2,7,44
2012-07-15,0,36,0,0,20
2012-07-22,2,89,0,14,58
2012-07-29,0,50,0,5,34
2012-08-05,0,32,0,2,25
2012-08-12,0,40,0,5,22
2012-08-19,0,93,0,5,66
2012-08-26,0,69,0,5,47
2012-09-02,2,55,4,4,36
2012-09-09,3,75,0,10,45
2012-09-16,2,71,2,7,42
2012-09-23,5,69,2,10,34
2012-09-30,0,74,0,2,41
2012-10-07,0,96,0,13,65
2012-10-14,2,80,0,7,46
2012-10-21,2,100,2,3,63
2012-10-28,2,74,0,5,41
2012-11-04,2,51,0,2,34
2012-11-11,0,64,0,7,25
2012-11-18,2,47,0,4,25
2012-11-25,2,82,0,5,53
2012-12-02,0,75,0,3,43
2012-12-09,0,61,0,5,35
2012-12-16,0,49,0,2,27
2012-12-23,0,30,0,2,17
2012-12-30,0,26,0,4,12
