Week,symptoms of e coli: (California),coli: (California),signs of e coli: (California),e coli symptoms: (California),e coli: (California)
2016-01-03,2,83,0,11,50
2016-01-10,3,88,2,8,76
2016-01-17,2,91,2,7,66
2016-01-24,2,70,1,7,63
2016-01-31,1,69,1,5,54
2016-02-07,2,100,2,5,63
2016-02-14,2,80,1,5,52
2016-02-21,1,62,0,6,54
2016-02-28,1,58,0,3,42
2016-03-06,3,60,0,2,42
2016-03-13,2,52,1,5,36
2016-03-20,2,45,0,3,28
2016-03-27,0,49,0,4,31
2016-04-03,2,48,0,3,34
2016-04-10,2,60,0,4,42
2016-04-17,2,56,0,5,34
2016-04-24,2,49,0,3,32
2016-05-01,2,57,0,4,36
2016-05-08,1,49,0,5,30
2016-05-15,1,48,1,5,28
2016-05-22,2,55,0,5,35
2016-05-29,3,56,0,10,48
2016-06-05,2,38,1,4,27
2016-06-12,0,33,0,2,21
2016-06-19,1,35,2,3,17
2016-06-26,1,39,0,7,27
2016-07-03,2,45,0,4,26
2016-07-10,2,44,0,5,27
2016-07-17,2,41,1,3,24
2016-07-24,1,48,0,4,31
2016-07-31,2,40,0,3,28
2016-08-07,0,41,0,1,24
2016-08-14,1,31,0,4,20
2016-08-21,1,38,1,4,25
2016-08-28,1,34,0,1,25
2016-09-04,1,36,0,4,27
2016-09-11,2,46,1,6,34
2016-09-18,1,45,0,3,34
2016-09-25,1,52,0,4,32
2016-10-02,0,46,0,2,30
2016-10-09,1,40,1,3,30
2016-10-16,1,40,0,2,21
2016-10-23,2,50,1,6,22
2016-10-30,1,55,0,4,33
2016-11-06,1,41,0,3,24
2016-11-13,1,51,1,3,28
2016-11-20,2,38,0,2,21
2016-11-27,0,55,0,1,31
2016-12-04,1,42,0,4,28
2016-12-11,1,41,1,3,24
2016-12-18,0,22,0,3,18
2016-12-25,1,25,1,2,16
