Category: All categories

Week,coli: (California)
2017-01-01,14
2017-01-08,17
2017-01-15,20
2017-01-22,23
2017-01-29,23
2017-02-05,20
2017-02-12,24
2017-02-19,18
2017-02-26,24
2017-03-05,29
2017-03-12,29
2017-03-19,18
2017-03-26,27
2017-04-02,21
2017-04-09,23
2017-04-16,19
2017-04-23,26
2017-04-30,23
2017-05-07,29
2017-05-14,23
2017-05-21,21
2017-05-28,14
2017-06-04,21
2017-06-11,20
2017-06-18,18
2017-06-25,23
2017-07-02,17
2017-07-09,25
2017-07-16,22
2017-07-23,19
2017-07-30,33
2017-08-06,24
2017-08-13,20
2017-08-20,21
2017-08-27,21
2017-09-03,20
2017-09-10,26
2017-09-17,23
2017-09-24,24
2017-10-01,26
2017-10-08,28
2017-10-15,24
2017-10-22,29
2017-10-29,26
2017-11-05,27
2017-11-12,26
2017-11-19,18
2017-11-26,24
2017-12-03,24
2017-12-10,24
2017-12-17,14
2017-12-24,9
2017-12-31,100
