Category: All categories

Week,e coli symptoms: (California)
2017-01-01,8
2017-01-08,11
2017-01-15,0
2017-01-22,5
2017-01-29,2
2017-02-05,5
2017-02-12,10
2017-02-19,4
2017-02-26,10
2017-03-05,9
2017-03-12,7
2017-03-19,4
2017-03-26,7
2017-04-02,9
2017-04-09,4
2017-04-16,4
2017-04-23,4
2017-04-30,9
2017-05-07,11
2017-05-14,8
2017-05-21,6
2017-05-28,4
2017-06-04,8
2017-06-11,6
2017-06-18,9
2017-06-25,10
2017-07-02,4
2017-07-09,2
2017-07-16,8
2017-07-23,2
2017-07-30,15
2017-08-06,13
2017-08-13,9
2017-08-20,15
2017-08-27,4
2017-09-03,2
2017-09-10,12
2017-09-17,4
2017-09-24,6
2017-10-01,8
2017-10-08,5
2017-10-15,5
2017-10-22,10
2017-10-29,11
2017-11-05,14
2017-11-12,7
2017-11-19,2
2017-11-26,9
2017-12-03,3
2017-12-10,5
2017-12-17,2
2017-12-24,4
2017-12-31,100
