Category: All categories

Week,e coli: (California)
2017-01-01,9
2017-01-08,13
2017-01-15,13
2017-01-22,17
2017-01-29,18
2017-02-05,17
2017-02-12,17
2017-02-19,16
2017-02-26,17
2017-03-05,22
2017-03-12,18
2017-03-19,15
2017-03-26,15
2017-04-02,15
2017-04-09,19
2017-04-16,19
2017-04-23,21
2017-04-30,17
2017-05-07,21
2017-05-14,15
2017-05-21,17
2017-05-28,15
2017-06-04,14
2017-06-11,13
2017-06-18,13
2017-06-25,16
2017-07-02,17
2017-07-09,15
2017-07-16,18
2017-07-23,18
2017-07-30,26
2017-08-06,18
2017-08-13,13
2017-08-20,15
2017-08-27,18
2017-09-03,17
2017-09-10,20
2017-09-17,17
2017-09-24,17
2017-10-01,22
2017-10-08,18
2017-10-15,16
2017-10-22,18
2017-10-29,24
2017-11-05,20
2017-11-12,17
2017-11-19,13
2017-11-26,19
2017-12-03,17
2017-12-10,13
2017-12-17,12
2017-12-24,11
2017-12-31,100
