Category: All categories

Week,symptoms of e coli: (California)
2017-01-01,0
2017-01-08,19
2017-01-15,0
2017-01-22,9
2017-01-29,19
2017-02-05,0
2017-02-12,27
2017-02-19,9
2017-02-26,0
2017-03-05,18
2017-03-12,18
2017-03-19,9
2017-03-26,0
2017-04-02,9
2017-04-09,10
2017-04-16,19
2017-04-23,9
2017-04-30,9
2017-05-07,28
2017-05-14,30
2017-05-21,30
2017-05-28,0
2017-06-04,10
2017-06-11,0
2017-06-18,10
2017-06-25,10
2017-07-02,11
2017-07-09,10
2017-07-16,20
2017-07-23,0
2017-07-30,20
2017-08-06,39
2017-08-13,29
2017-08-20,10
2017-08-27,0
2017-09-03,19
2017-09-10,18
2017-09-17,10
2017-09-24,10
2017-10-01,18
2017-10-08,26
2017-10-15,9
2017-10-22,18
2017-10-29,0
2017-11-05,27
2017-11-12,18
2017-11-19,10
2017-11-26,9
2017-12-03,18
2017-12-10,9
2017-12-17,10
2017-12-24,0
2017-12-31,100
