symptoms of e coli,coli,signs of e coli,e coli symptoms,e coli,Cases
0.0,9.75,0.0,0.0,1.0,0.0
0.0,6.0,0.0,0.0,3.5,0.0
0.0,3.5,0.0,0.0,4.25,0.0
0.0,37.5,0.0,0.0,11.0,1.0
0.0,10.75,0.0,0.0,8.0,0.0
0.0,8.75,0.0,0.0,0.0,0.0
0.0,27.25,0.0,0.0,9.25,0.0
0.0,31.5,0.0,0.0,24.25,0.0
0.0,6.0,0.0,0.0,6.0,0.0
0.75,9.75,0.0,0.75,0.75,1.0
0.0,21.25,0.0,0.0,3.25,0.0
0.0,12.0,0.0,0.0,0.75,0.0
0.0,7.0,0.0,0.0,1.75,0.0
0.0,8.75,0.0,0.0,7.75,0.0
0.0,12.5,0.0,0.0,1.5,0.0
3.0,14.5,0.0,3.0,13.25,1.0
0.0,12.5,0.0,0.0,1.25,1.0
0.0,12.5,0.0,0.0,0.75,0.0
0.0,13.0,0.0,0.0,12.0,0.0
0.0,1.5,0.0,0.0,0.0,0.0
0.0,13.25,0.0,0.0,1.25,0.0
0.0,5.75,0.0,0.0,5.25,1.0
0.0,16.25,0.0,0.0,4.0,0.0
0.0,8.75,0.0,0.0,1.25,0.0
0.0,3.5,0.0,0.0,1.0,0.0
0.0,5.25,0.0,0.0,0.75,1.0
0.0,10.75,0.0,0.0,2.0,1.0
0.0,32.75,0.0,0.0,30.0,0.0
0.0,14.25,0.0,0.0,0.0,0.0
0.0,18.75,0.0,9.75,11.0,1.0
0.0,11.5,0.0,0.0,11.75,1.0
0.0,23.0,0.0,9.25,20.0,2.0
0.75,14.75,0.0,0.75,0.75,0.0
0.0,2.0,0.0,0.0,0.75,1.0
0.75,60.75,0.0,1.75,40.75,1.0
0.75,87.5,0.0,9.0,51.0,2.0
0.75,24.5,0.0,0.75,15.0,1.0
8.25,31.0,0.0,9.0,28.25,2.0
9.0,58.75,0.0,9.25,39.75,8.0
0.0,31.0,0.0,0.0,25.75,1.0
0.0,19.25,0.0,0.75,12.75,19.0
0.0,19.75,0.0,6.75,18.0,1.0
0.0,32.0,0.0,0.0,5.25,1.0
0.0,11.25,0.0,0.0,2.5,0.0
0.0,5.75,0.0,3.0,4.75,0.0
0.0,7.0,0.0,0.0,1.25,8.0
3.0,28.25,0.0,3.0,18.25,0.0
0.0,21.25,0.0,0.75,8.5,0.0
0.0,34.0,0.0,0.0,15.25,0.0
0.0,1.25,0.0,0.0,0.75,3.0
0.0,20.75,0.0,0.0,0.75,1.0
0.0,35.25,0.0,0.0,9.0,0.0
3.0,37.0,0.0,3.0,28.5,0.0
0.0,22.0,0.0,0.0,16.25,1.0
0.0,54.25,0.0,13.0,38.25,0.0
0.0,18.75,0.0,0.0,5.5,0.0
0.0,31.75,0.0,0.0,22.0,1.0
0.0,39.75,0.0,0.0,4.25,0.0
0.0,32.0,0.0,0.0,5.5,1.0
0.0,36.25,0.0,0.0,35.0,1.0
0.0,34.75,0.0,3.0,16.25,1.0
0.0,48.75,0.0,11.0,23.25,0.0
0.0,24.25,0.0,2.5,19.0,0.0
0.0,36.75,0.0,16.25,21.75,2.0
0.0,25.0,0.0,0.0,7.75,0.0
0.0,25.75,0.0,0.0,4.0,2.0
0.0,45.75,0.0,5.0,18.75,3.0
0.0,25.0,0.0,0.0,17.75,2.0
0.0,40.75,0.0,12.5,26.25,0.0
0.0,5.0,0.0,0.0,2.5,4.0
0.0,42.75,0.0,0.0,15.75,3.0
0.0,17.5,0.0,0.0,2.5,3.0
0.0,11.25,0.0,2.5,5.0,1.0
0.0,54.25,0.0,10.0,44.25,4.0
0.0,34.25,0.0,0.0,29.25,1.0
0.0,27.0,0.0,0.0,4.75,2.0
0.0,31.25,0.0,0.0,26.25,0.0
0.0,41.5,0.0,0.0,17.25,2.0
0.0,29.5,0.0,0.0,15.75,0.0
0.0,16.75,0.0,0.0,4.75,6.0
0.0,23.25,0.0,2.5,6.0,2.0
0.0,20.25,0.0,0.0,4.75,1.0
2.25,37.75,0.0,2.25,29.5,1.0
0.0,27.5,0.0,2.25,18.25,1.0
0.0,41.5,0.0,0.0,13.0,0.0
0.0,19.5,0.0,0.0,13.5,2.0
0.0,34.25,0.0,2.25,26.25,0.0
0.0,33.75,0.0,0.0,26.25,0.0
0.0,38.0,0.0,0.0,20.25,2.0
0.0,39.25,0.0,2.0,18.75,7.0
2.0,39.75,0.0,12.25,17.75,0.0
2.0,39.75,0.0,2.0,16.25,1.0
0.0,15.25,0.0,0.0,2.0,2.0
0.0,66.25,0.0,0.0,23.0,0.0
0.0,27.0,0.0,2.0,16.0,0.0
0.0,30.75,0.0,9.0,19.75,0.0
0.0,31.0,0.0,0.0,5.75,0.0
0.0,50.0,0.0,0.0,15.5,0.0
2.0,60.0,0.0,2.0,32.5,0.0
0.0,19.0,0.0,0.0,3.75,0.0
0.0,17.5,0.0,2.0,11.25,3.0
0.0,4.0,0.0,0.0,2.75,0.0
0.0,16.25,0.0,2.25,4.5,1.0
0.0,26.5,0.0,0.0,10.25,0.0
0.0,24.25,0.0,9.75,12.25,0.0
2.25,32.5,0.0,2.25,6.75,0.0
0.0,13.5,0.0,0.0,6.75,0.0
2.25,24.0,0.0,2.25,11.75,0.0
0.0,20.75,0.0,0.0,7.25,1.0
0.0,55.25,0.0,0.0,36.25,1.0
0.0,36.0,0.0,0.0,16.25,0.0
0.0,48.5,0.0,0.0,25.0,0.0
0.0,32.5,0.0,0.0,7.0,0.0
0.0,26.5,0.0,0.0,13.0,1.0
0.0,36.5,0.0,0.0,22.75,1.0
0.0,49.5,0.0,0.0,9.25,1.0
0.0,29.25,0.0,0.0,9.5,2.0
0.0,24.5,0.0,2.25,16.0,0.0
0.0,37.25,0.0,0.0,18.0,2.0
0.0,35.0,0.0,0.0,21.75,0.0
0.0,24.0,0.0,0.0,19.75,1.0
0.0,6.75,0.0,0.0,4.75,1.0
0.0,11.25,0.0,0.0,4.75,1.0
0.0,49.75,0.0,0.0,27.25,1.0
0.0,20.5,0.0,2.25,16.75,0.0
0.0,35.75,0.0,0.0,21.0,1.0
0.0,36.25,0.0,2.25,27.0,5.0
0.0,23.75,0.0,7.75,14.75,1.0
0.0,52.25,0.0,0.0,15.0,1.0
