symptoms of e coli,coli,signs of e coli,e coli symptoms,e coli
0.0,1.4,0.0,0.0,0.6
0.0,1.4,0.0,0.0,0.6
0.0,16.8,0.0,0.0,11.2
0.0,18.2,0.0,0.0,1.4
0.0,11.8,0.0,0.0,0.0
0.0,7.0,0.0,0.0,6.4
0.0,2.0,0.0,0.0,0.6
0.0,21.0,0.0,0.0,7.2
0.0,18.6,0.0,0.0,7.8
0.0,10.8,0.0,0.0,0.0
0.0,8.8,0.0,0.6,0.6
0.0,12.2,0.0,0.0,0.0
0.0,6.2,0.0,0.0,0.6
0.0,2.0,0.0,0.0,1.2
0.0,6.8,0.0,0.0,5.6
0.0,14.8,0.0,0.0,1.2
0.0,43.6,0.0,0.0,29.0
0.0,1.2,0.0,0.0,0.0
0.0,8.0,0.0,0.6,1.2
0.0,18.4,0.0,0.0,13.2
0.0,12.0,0.0,12.0,12.0
0.0,19.0,0.0,6.2,15.8
0.0,0.6,0.0,0.0,0.6
0.0,11.4,0.0,0.0,0.6
0.0,19.0,0.0,0.0,11.4
0.0,3.4,0.0,0.0,1.4
0.0,3.0,0.0,0.0,1.8
0.0,9.2,0.0,0.0,0.6
0.0,16.2,0.0,0.0,5.6
0.0,12.4,0.0,0.6,1.2
0.0,11.6,0.0,0.0,5.4
0.0,0.6,0.0,0.0,0.6
0.0,1.2,0.0,0.0,1.2
0.6,0.6,0.0,0.6,0.6
0.0,1.8,0.0,0.0,0.6
0.6,77.2,0.0,1.6,59.2
0.6,90.0,0.0,7.2,43.2
0.0,19.6,0.0,0.0,17.0
0.0,4.4,0.0,0.0,2.2
0.0,33.8,0.0,0.6,26.8
0.0,15.6,0.0,0.0,8.2
0.0,11.0,0.0,0.0,0.6
0.0,15.2,0.0,4.8,4.8
0.0,2.6,0.0,0.0,1.0
0.0,23.6,0.0,0.0,10.0
0.0,28.6,0.0,9.6,15.6
0.0,9.0,0.0,0.0,7.0
1.0,31.6,0.0,1.4,8.6
0.0,37.0,0.0,9.2,29.6
0.0,25.0,0.0,0.0,11.2
0.0,9.6,0.0,0.6,7.6
0.0,11.0,0.0,0.0,2.2
0.0,17.4,0.0,0.0,1.8
0.0,14.6,0.0,0.0,13.0
0.0,31.8,0.0,0.0,19.8
0.0,33.2,0.0,0.0,19.0
0.0,22.0,0.0,1.6,1.6
0.0,10.0,0.0,0.0,3.4
12.0,34.0,0.0,13.6,23.8
0.0,20.2,0.0,0.0,13.6
0.0,18.2,0.0,0.0,5.0
0.0,31.8,0.0,0.0,14.4
0.0,16.4,0.0,0.0,5.0
0.0,11.0,0.0,0.0,1.6
0.0,28.2,0.0,0.0,16.6
0.0,20.8,0.0,0.0,11.2
0.0,19.4,0.0,0.0,9.8
0.0,21.2,0.0,9.6,11.0
0.0,24.4,0.0,0.0,4.4
0.0,31.4,0.0,0.0,10.6
0.0,11.0,0.0,0.0,9.4
0.0,14.8,0.0,0.0,11.8
0.0,16.4,0.0,3.0,3.0
0.0,37.0,0.0,0.0,15.4
0.0,15.6,0.0,0.0,15.6
0.0,23.2,0.0,0.0,20.2
0.0,50.4,0.0,0.0,10.0
0.0,14.6,0.0,1.4,11.8
1.4,20.6,0.0,1.4,1.4
0.0,18.0,0.0,0.0,2.8
0.0,54.0,0.0,0.0,13.6
8.0,24.2,0.0,8.0,17.4
0.0,5.6,0.0,0.0,4.2
0.0,28.4,0.0,11.4,15.6
0.0,1.4,0.0,0.0,0.0
0.0,10.0,0.0,0.0,8.6
0.0,11.4,0.0,0.0,11.4
0.0,11.8,0.0,0.0,1.2
0.0,17.4,0.0,0.0,13.4
0.0,48.4,0.0,0.0,27.4
0.0,29.4,0.0,1.2,6.4
0.0,36.0,0.0,10.2,20.8
0.0,34.8,0.0,8.8,18.4
0.0,37.6,0.0,0.0,16.8
0.0,44.6,0.0,10.0,30.0
0.0,59.6,0.0,2.4,26.4
0.0,25.8,0.0,0.0,14.4
0.0,9.0,0.0,0.0,7.6
0.0,25.6,0.0,0.0,10.8
1.2,33.2,0.0,1.2,23.2
0.0,9.0,0.0,0.0,1.2
0.0,12.2,0.0,1.2,1.2
9.0,10.6,0.0,9.0,9.0
0.0,14.6,0.0,0.0,12.0
0.0,31.0,0.0,0.0,4.0
0.0,44.2,0.0,14.6,20.4
0.0,19.8,0.0,0.0,11.2
0.0,70.0,0.0,0.0,15.4
0.0,27.2,0.0,0.0,20.8
0.0,34.8,0.0,0.0,19.8
0.0,25.0,0.0,0.0,5.4
0.0,11.8,0.0,0.0,4.6
0.0,38.2,0.0,0.0,29.2
0.0,16.8,0.0,0.0,8.4
0.0,20.4,0.0,0.0,17.2
0.0,30.6,0.0,0.0,2.8
0.0,44.8,0.0,0.0,8.0
0.0,29.6,0.0,0.0,8.0
0.0,21.6,0.0,0.0,7.2
0.0,28.2,0.0,0.0,17.6
0.0,14.2,0.0,0.0,4.4
0.0,23.6,0.0,0.0,13.0
0.0,7.4,0.0,0.0,5.6
0.0,24.0,0.0,0.0,5.4
0.0,23.6,0.0,0.0,16.8
0.0,26.2,0.0,1.8,3.6
0.0,14.4,0.0,0.0,6.6
0.0,50.8,0.0,0.0,30.2
0.0,12.2,0.0,0.0,6.6
0.0,51.0,0.0,0.0,36.0
0.0,40.0,0.0,0.0,23.2
0.0,26.0,0.0,0.0,19.6
0.0,10.8,0.0,0.0,4.6
0.0,31.6,0.0,0.0,15.4
0.0,8.0,0.0,0.0,3.6
1.8,10.0,0.0,1.8,4.6
0.0,12.6,0.0,0.0,10.8
0.0,43.2,0.0,8.2,25.2
1.8,21.6,0.0,5.6,16.4
13.4,49.4,0.0,13.4,32.0
0.0,33.0,0.0,0.0,16.2
0.0,58.6,1.8,5.2,37.0
1.6,68.4,0.0,3.4,8.4
1.6,36.4,0.0,11.6,23.2
0.0,27.0,0.0,1.6,7.6
0.0,16.6,0.0,1.6,9.2
0.0,50.8,0.0,3.0,31.6
1.6,20.8,0.0,1.6,15.0
0.0,25.0,0.0,0.0,9.4
1.6,27.6,0.0,1.6,6.6
0.0,36.6,0.0,2.0,33.8
0.0,20.8,0.0,0.0,7.8
0.0,24.2,0.0,0.0,3.2
0.0,23.2,0.0,3.2,9.0
0.0,5.2,0.0,2.2,2.2
0.0,17.4,0.0,0.0,15.4
0.0,14.6,0.0,0.0,3.2
0.0,37.2,0.0,0.0,18.2
0.0,29.4,0.0,1.6,15.2
0.0,29.2,0.0,1.6,15.0
0.0,46.8,0.0,0.0,28.8
1.6,31.2,1.6,1.6,29.8
0.0,55.4,0.0,3.2,30.6
1.6,36.2,0.0,1.6,21.2
0.0,35.2,0.0,0.0,9.6
0.0,20.6,0.0,1.6,7.0
0.0,44.8,0.0,1.8,10.0
0.0,40.0,0.0,4.8,29.2
0.0,38.4,1.6,1.6,21.2
6.4,32.4,0.0,6.4,20.8
0.0,51.4,0.0,17.0,36.4
0.0,41.6,0.0,0.0,20.2
1.6,27.2,0.0,1.6,11.8
0.0,42.2,0.0,1.6,38.0
0.0,34.8,0.0,0.0,18.2
0.0,27.2,0.0,5.6,12.4
0.0,11.8,0.0,2.6,4.2
0.0,25.6,0.0,0.0,12.8
0.0,23.8,0.0,0.0,19.2
10.0,35.4,0.0,12.4,29.0
1.6,39.2,0.0,2.4,33.6
