Category: All categories

Week,coli: (California)
2018-01-28,8
2018-02-04,8
2018-02-11,8
2018-02-18,9
2018-02-25,10
2018-03-04,9
2018-03-11,7
2018-03-18,8
2018-03-25,9
2018-04-01,8
2018-04-08,14
2018-04-15,39
2018-04-22,53
2018-04-29,47
2018-05-06,26
2018-05-13,16
2018-05-20,14
2018-05-27,10
2018-06-03,12
2018-06-10,9
2018-06-17,7
2018-06-24,11
2018-07-01,8
2018-07-08,9
2018-07-15,7
2018-07-22,6
2018-07-29,7
2018-08-05,9
2018-08-12,8
2018-08-19,7
2018-08-26,11
2018-09-02,9
2018-09-09,11
2018-09-16,13
2018-09-23,9
2018-09-30,10
2018-10-07,10
2018-10-14,12
2018-10-21,10
2018-10-28,10
2018-11-04,9
2018-11-11,9
2018-11-18,100
2018-11-25,48
2018-12-02,25
2018-12-09,14
2018-12-16,15
2018-12-23,6
2018-12-30,8
2019-01-06,8
2019-01-13,9
