Category: All categories

Week,e coli symptoms: (California)
2018-01-28,2
2018-02-04,3
2018-02-11,2
2018-02-18,0
2018-02-25,4
2018-03-04,3
2018-03-11,1
2018-03-18,1
2018-03-25,4
2018-04-01,2
2018-04-08,6
2018-04-15,26
2018-04-22,50
2018-04-29,49
2018-05-06,26
2018-05-13,10
2018-05-20,8
2018-05-27,7
2018-06-03,6
2018-06-10,7
2018-06-17,5
2018-06-24,3
2018-07-01,2
2018-07-08,7
2018-07-15,3
2018-07-22,6
2018-07-29,2
2018-08-05,4
2018-08-12,3
2018-08-19,3
2018-08-26,5
2018-09-02,1
2018-09-09,9
2018-09-16,4
2018-09-23,5
2018-09-30,3
2018-10-07,2
2018-10-14,2
2018-10-21,5
2018-10-28,2
2018-11-04,1
2018-11-11,2
2018-11-18,100
2018-11-25,55
2018-12-02,15
2018-12-09,6
2018-12-16,8
2018-12-23,2
2018-12-30,6
2019-01-06,3
2019-01-13,0
