Category: All categories

Week,e coli: (California)
2018-01-28,7
2018-02-04,7
2018-02-11,6
2018-02-18,5
2018-02-25,6
2018-03-04,5
2018-03-11,6
2018-03-18,5
2018-03-25,6
2018-04-01,5
2018-04-08,10
2018-04-15,34
2018-04-22,52
2018-04-29,42
2018-05-06,25
2018-05-13,15
2018-05-20,9
2018-05-27,10
2018-06-03,8
2018-06-10,7
2018-06-17,6
2018-06-24,6
2018-07-01,7
2018-07-08,7
2018-07-15,7
2018-07-22,7
2018-07-29,6
2018-08-05,5
2018-08-12,6
2018-08-19,5
2018-08-26,7
2018-09-02,6
2018-09-09,8
2018-09-16,9
2018-09-23,8
2018-09-30,7
2018-10-07,6
2018-10-14,8
2018-10-21,8
2018-10-28,7
2018-11-04,6
2018-11-11,6
2018-11-18,100
2018-11-25,45
2018-12-02,22
2018-12-09,14
2018-12-16,13
2018-12-23,5
2018-12-30,6
2019-01-06,6
2019-01-13,7
