Category: All categories

Week,symptoms of e coli: (California)
2018-01-28,2
2018-02-04,6
2018-02-11,2
2018-02-18,5
2018-02-25,4
2018-03-04,2
2018-03-11,3
2018-03-18,2
2018-03-25,0
2018-04-01,5
2018-04-08,2
2018-04-15,29
2018-04-22,47
2018-04-29,59
2018-05-06,33
2018-05-13,12
2018-05-20,8
2018-05-27,9
2018-06-03,7
2018-06-10,5
2018-06-17,2
2018-06-24,7
2018-07-01,6
2018-07-08,5
2018-07-15,5
2018-07-22,5
2018-07-29,2
2018-08-05,5
2018-08-12,4
2018-08-19,5
2018-08-26,5
2018-09-02,2
2018-09-09,5
2018-09-16,2
2018-09-23,0
2018-09-30,5
2018-10-07,2
2018-10-14,5
2018-10-21,7
2018-10-28,5
2018-11-04,0
2018-11-11,2
2018-11-18,100
2018-11-25,52
2018-12-02,11
2018-12-09,14
2018-12-16,11
2018-12-23,3
2018-12-30,10
2019-01-06,2
2019-01-13,0
