Category: All categories

Week,coli: (California)
2018-01-07,25
2018-01-14,14
2018-01-21,11
2018-01-28,9
2018-02-04,8
2018-02-11,9
2018-02-18,8
2018-02-25,8
2018-03-04,8
2018-03-11,8
2018-03-18,7
2018-03-25,8
2018-04-01,8
2018-04-08,12
2018-04-15,35
2018-04-22,52
2018-04-29,45
2018-05-06,27
2018-05-13,17
2018-05-20,12
2018-05-27,12
2018-06-03,10
2018-06-10,10
2018-06-17,7
2018-06-24,8
2018-07-01,8
2018-07-08,10
2018-07-15,8
2018-07-22,9
2018-07-29,8
2018-08-05,8
2018-08-12,7
2018-08-19,8
2018-08-26,11
2018-09-02,8
2018-09-09,10
2018-09-16,13
2018-09-23,12
2018-09-30,9
2018-10-07,9
2018-10-14,11
2018-10-21,10
2018-10-28,9
2018-11-04,10
2018-11-11,9
2018-11-18,100
2018-11-25,48
2018-12-02,24
2018-12-09,18
2018-12-16,16
2018-12-23,7
2018-12-30,6
