Category: All categories

Week,e coli symptoms: (California)
2018-01-07,15
2018-01-14,6
2018-01-21,5
2018-01-28,3
2018-02-04,3
2018-02-11,1
2018-02-18,1
2018-02-25,3
2018-03-04,2
2018-03-11,3
2018-03-18,1
2018-03-25,1
2018-04-01,2
2018-04-08,4
2018-04-15,25
2018-04-22,42
2018-04-29,41
2018-05-06,23
2018-05-13,12
2018-05-20,6
2018-05-27,5
2018-06-03,6
2018-06-10,4
2018-06-17,2
2018-06-24,3
2018-07-01,3
2018-07-08,4
2018-07-15,2
2018-07-22,5
2018-07-29,3
2018-08-05,3
2018-08-12,2
2018-08-19,2
2018-08-26,4
2018-09-02,1
2018-09-09,3
2018-09-16,5
2018-09-23,3
2018-09-30,1
2018-10-07,1
2018-10-14,3
2018-10-21,3
2018-10-28,3
2018-11-04,<1
2018-11-11,2
2018-11-18,100
2018-11-25,34
2018-12-02,11
2018-12-09,8
2018-12-16,6
2018-12-23,3
2018-12-30,3
