Category: All categories

Week,e coli: (California)
2018-01-07,24
2018-01-14,12
2018-01-21,8
2018-01-28,7
2018-02-04,7
2018-02-11,6
2018-02-18,5
2018-02-25,6
2018-03-04,6
2018-03-11,6
2018-03-18,5
2018-03-25,6
2018-04-01,5
2018-04-08,11
2018-04-15,31
2018-04-22,49
2018-04-29,41
2018-05-06,22
2018-05-13,16
2018-05-20,10
2018-05-27,11
2018-06-03,9
2018-06-10,7
2018-06-17,5
2018-06-24,6
2018-07-01,6
2018-07-08,6
2018-07-15,7
2018-07-22,6
2018-07-29,5
2018-08-05,5
2018-08-12,6
2018-08-19,6
2018-08-26,8
2018-09-02,7
2018-09-09,7
2018-09-16,9
2018-09-23,8
2018-09-30,6
2018-10-07,7
2018-10-14,8
2018-10-21,7
2018-10-28,5
2018-11-04,6
2018-11-11,5
2018-11-18,100
2018-11-25,42
2018-12-02,22
2018-12-09,13
2018-12-16,14
2018-12-23,6
2018-12-30,5
