Category: All categories

Week,signs of e coli: (California)
2018-01-07,34
2018-01-14,14
2018-01-21,0
2018-01-28,13
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,13
2018-03-04,0
2018-03-11,0
2018-03-18,0
2018-03-25,0
2018-04-01,0
2018-04-08,0
2018-04-15,27
2018-04-22,53
2018-04-29,46
2018-05-06,33
2018-05-13,13
2018-05-20,13
2018-05-27,0
2018-06-03,13
2018-06-10,13
2018-06-17,0
2018-06-24,14
2018-07-01,0
2018-07-08,14
2018-07-15,0
2018-07-22,14
2018-07-29,0
2018-08-05,0
2018-08-12,14
2018-08-19,14
2018-08-26,27
2018-09-02,0
2018-09-09,0
2018-09-16,0
2018-09-23,13
2018-09-30,0
2018-10-07,0
2018-10-14,0
2018-10-21,0
2018-10-28,0
2018-11-04,0
2018-11-11,0
2018-11-18,100
2018-11-25,72
2018-12-02,27
2018-12-09,14
2018-12-16,14
2018-12-23,16
2018-12-30,15
