Category: All categories

Week,symptoms of e coli: (California)
2018-01-07,19
2018-01-14,13
2018-01-21,0
2018-01-28,5
2018-02-04,8
2018-02-11,5
2018-02-18,5
2018-02-25,5
2018-03-04,3
2018-03-11,5
2018-03-18,0
2018-03-25,0
2018-04-01,3
2018-04-08,8
2018-04-15,29
2018-04-22,42
2018-04-29,63
2018-05-06,39
2018-05-13,11
2018-05-20,5
2018-05-27,14
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,3
2018-07-01,3
2018-07-08,0
2018-07-15,6
2018-07-22,5
2018-07-29,0
2018-08-05,6
2018-08-12,8
2018-08-19,6
2018-08-26,8
2018-09-02,0
2018-09-09,8
2018-09-16,3
2018-09-23,11
2018-09-30,3
2018-10-07,3
2018-10-14,5
2018-10-21,0
2018-10-28,5
2018-11-04,0
2018-11-11,3
2018-11-18,100
2018-11-25,63
2018-12-02,24
2018-12-09,11
2018-12-16,11
2018-12-23,6
2018-12-30,3
