symptoms of e coli,coli,signs of e coli,e coli symptoms,e coli
0.0,9.75,0.0,0.0,9.75
0.0,5.5,0.0,0.0,5.5
0.0,0.0,0.0,0.0,0.0
0.0,24.75,0.0,0.0,0.0
0.0,15.0,0.0,0.0,5.0
0.0,14.0,0.0,0.0,0.0
0.0,27.0,0.0,0.0,14.0
0.0,12.0,0.0,0.0,4.0
0.0,6.25,0.0,0.0,4.25
0.0,9.0,0.0,0.0,0.0
0.0,8.0,0.0,0.0,4.0
0.0,11.25,0.0,0.0,0.0
0.0,17.75,0.0,0.0,11.75
0.0,14.75,0.0,0.0,10.75
0.0,7.75,0.0,0.0,3.75
0.0,3.75,0.0,0.0,0.0
0.0,22.0,0.0,0.0,17.25
0.0,4.0,0.0,0.0,0.0
0.0,5.25,0.0,0.0,0.0
0.0,16.75,0.0,0.0,11.25
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,9.25,0.0,4.0,4.0
0.0,18.75,0.0,0.0,0.0
0.0,26.25,0.0,0.0,14.75
0.0,20.75,0.0,0.0,0.0
0.0,22.5,0.0,0.0,4.0
0.0,9.75,0.0,0.0,4.75
0.0,7.25,0.0,0.0,3.75
0.0,7.25,0.0,0.0,3.75
0.0,11.0,0.0,0.0,7.5
3.5,7.0,0.0,3.5,3.5
0.0,19.5,0.0,0.0,12.5
0.0,3.5,0.0,0.0,0.0
0.0,8.0,0.0,0.0,8.0
0.0,64.75,0.0,9.25,41.5
3.25,100.0,0.0,12.0,63.5
7.5,42.0,0.0,7.5,20.25
0.0,12.5,0.0,0.0,12.5
0.0,30.0,0.0,3.5,23.0
0.0,18.0,0.0,0.0,13.75
0.0,15.75,0.0,3.25,5.0
0.0,12.0,0.0,0.0,9.25
0.0,29.25,0.0,0.0,19.25
0.0,18.5,0.0,0.0,3.0
0.0,3.75,0.0,0.0,0.0
0.0,3.75,0.0,0.0,2.5
0.0,15.0,0.0,3.0,5.5
0.0,24.75,0.0,8.75,19.0
0.0,3.75,0.0,0.0,3.75
