Category: All categories

Week,symptoms of e coli: (California),e coli: (California),coli: (California),signs of e coli: (California),e coli symptoms: (California)
2016-01-03,3,55,87,1,11
2016-01-10,3,71,95,1,8
2016-01-17,3,71,100,3,11
2016-01-24,1,61,78,2,7
2016-01-31,1,65,75,1,6
2016-02-07,2,70,90,1,8
2016-02-14,2,62,82,2,5
2016-02-21,3,57,83,0,6
2016-02-28,1,47,64,0,2
2016-03-06,3,45,63,0,4
2016-03-13,2,45,61,0,4
2016-03-20,1,29,52,0,3
2016-03-27,0,37,59,1,4
2016-04-03,1,38,60,0,4
2016-04-10,1,33,66,0,5
2016-04-17,1,38,62,1,6
2016-04-24,2,39,54,0,4
2016-05-01,1,31,55,0,4
2016-05-08,1,37,57,0,5
2016-05-15,2,34,54,1,7
2016-05-22,1,39,60,0,4
2016-05-29,3,41,68,1,13
2016-06-05,1,33,43,1,4
2016-06-12,1,18,31,0,2
2016-06-19,1,22,37,2,6
2016-06-26,1,30,47,0,4
2016-07-03,3,34,44,1,5
2016-07-10,4,32,52,1,5
2016-07-17,2,30,38,0,4
2016-07-24,1,30,46,0,4
2016-07-31,2,28,43,1,5
2016-08-07,1,22,42,0,3
2016-08-14,1,17,28,0,2
2016-08-21,1,26,40,2,5
2016-08-28,1,24,41,0,2
2016-09-04,2,28,41,0,5
2016-09-11,0,30,49,1,5
2016-09-18,1,38,50,0,5
2016-09-25,2,36,53,0,4
2016-10-02,1,33,50,0,3
2016-10-09,0,29,51,0,2
2016-10-16,3,25,37,0,3
2016-10-23,2,30,53,1,4
2016-10-30,1,33,53,0,2
2016-11-06,0,24,44,0,3
2016-11-13,1,32,51,0,2
2016-11-20,1,23,43,0,2
2016-11-27,0,38,55,0,2
2016-12-04,1,30,44,0,3
2016-12-11,2,27,39,1,4
2016-12-18,1,19,33,0,2
2016-12-25,2,15,23,1,2
