Category: All categories

Week,signs of e coli: (California)
2018-01-28,9
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,0
2018-03-04,0
2018-03-11,9
2018-03-18,0
2018-03-25,0
2018-04-01,0
2018-04-08,0
2018-04-15,18
2018-04-22,35
2018-04-29,56
2018-05-06,17
2018-05-13,9
2018-05-20,9
2018-05-27,0
2018-06-03,18
2018-06-10,9
2018-06-17,9
2018-06-24,9
2018-07-01,0
2018-07-08,0
2018-07-15,0
2018-07-22,0
2018-07-29,0
2018-08-05,9
2018-08-12,9
2018-08-19,9
2018-08-26,9
2018-09-02,0
2018-09-09,0
2018-09-16,0
2018-09-23,18
2018-09-30,0
2018-10-07,0
2018-10-14,0
2018-10-21,9
2018-10-28,0
2018-11-04,0
2018-11-11,9
2018-11-18,100
2018-11-25,56
2018-12-02,9
2018-12-09,27
2018-12-16,14
2018-12-23,11
2018-12-30,10
2019-01-06,0
2019-01-13,15
